citation_id,citation_label,date_year,protocol_ids,study_name,study_acronym,study_type,disease_phenotype,primary_research_focus,funding_source,award_num,foa
123,FortierI2010a,2010,,,,Clinical Trials as Topic,Health Behavior,,"Chief Scientist Office,Medical Research Council,Wellcome Trust","CZD/16/6/2,G0601625,086160/Z/08/A","NA,NA,NA"
124,BayeT2010a,2010,,,,Genomics|Human Genome Project,Immune System Diseases,,"NIAID NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,NIAID NIH HHS,NIAID NIH HHS,NIAID NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,PHS HHS,NIAID NIH HHS,NIAID NIH HHS,NIAID NIH HHS","U19 AI070235-03,P30 HL101333,P30 HL101333-02,U19 AI070235-05,U19 AI070235-01,U19 AI070235-03S1,P30 HL101333-01,P30HL10133,U19A170235,U19 AI070235-02,U19 AI070235,U19 AI070235-04","NA,RFA-OD-09-005,NA,NA,NA,NA,NA,RFA-OD-09-005,NA,NA,RFA-AI-05-027/PA-18-591/RFA-AI-15-032/RFA-AI-10-013/RFA-AI-20-007,NA"
125,GreenE2011a,2011,,,,"Genetic Counseling|Genetics, Medical|Genomics|Human Genome Project",,,,,
126,RichessonR2011a,2011,,,,Biomedical Research|Surveys and Questionnaires,,,"NCRR NIH HHS,NCRR NIH HHS,NCRR NIH HHS","U54 RR019259,RR019259-01,RR019259-02","RFA-RR-03-008,NA,NA"
127,BookmanE2011a,2011,,,,Genomics|Research Design,"Disease,Genetic Predisposition to Disease",,"NHGRI NIH HHS,NCI NIH HHS,NCI NIH HHS,NHGRI NIH HHS,NICHD NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NICHD NIH HHS,Intramural NIH HHS","U01 HG004422-02,P01 CA089392-09,P01 CA089392,U01 HG004422,R21 HD051146,R01 DA019963-03,R01 DA013423-05,R01 DA019963,R01 DA013423,R21 HD051146-05,Z99 ES999999","NA,NA,NA,RFA-HG-06-033,PAR-04-138,NA,NA,PA-03-155,PA-99-113,NA,NA"
128,MoserR2011a,2011,,,,Research,Cooperative Behavior,,Intramural NIH HHS,Z99 CA999999,
129,PathakJ2011a,2011,,,,Computational Biology|Electronic Health Records,,,"NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS","U01-HG-004610,U01-HG-04603,U01 HG004603,U01HG004609,U01 HG004609,U01 HG004599,U01 HG004610,U01-HG-004608,U01 HG004608,U01-HG-04599","RFA-HG-07-005,NA,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,NA"
130,MurtaghM2011a,2011,,,,Public Health|Translational Medical Research,Public Health,,"Wellcome Trust,Wellcome Trust,Wellcome Trust,Medical Research Council","NA,WT095219MA,086160/Z/08/A,G1001799","NA,NA,NA,NA"
131,ZuvichR2011a,2011,,,,Electronic Health Records|Genome-Wide Association Study,,,"NHGRI NIH HHS,NIGMS NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,Intramural NIH HHS,NLM NIH HHS,NHGRI NIH HHS,NLM NIH HHS","U01HG004438,T32 GM080178,U01HG004610,U01 HG004603,U01HG04603,U01HG004609,U01 HG004609,U01 HG004599,U01HG004608,U01 HG004608,U01 HG006375,U01 HG004438,U01HG04599,NA,R01 LM010040,U01 HG004610,R01LM010040","RFA-HG-06-014,PA-11-184/PA-14-015,RFA-HG-07-005,RFA-HG-07-005,NA,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-10-009,RFA-HG-06-014,NA,NA,PA-07-070,RFA-HG-07-005,PA-07-070"
132,HesseB2011a,2011,,,,Biomedical Research,,,Intramural NIH HHS,Z01 BC010470-05,
133,ShaikhA2011a,2011,,,,,,,,,
134,ChowdhuryF2011a,2011,,,,Research,Cooperative Behavior,,,,
135,ViswanathK2011a,2011,,,,Electronic Health Records|Translational Medical Research,Communication,,,,
136,TurnerC2011a,2011,,,,,Diabetes Mellitus|Digestive System Diseases|Kidney Diseases,,,,
137,RileyW2011a,2011,,,,"Outcome Assessment, Health Care",Mental Disorders,,"NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS,NIAMS NIH HHS","1U01AR057948,U01 AR052181,1U01AR057940,2U01AR052181,U01 AR057948,1U01AR057956,U01 AR057956,1U54AR057951,1U01AR057954,U01 AR057967,1U01AR057936,U01 AR052171,1U01AR057967,U01 AR057929,1U01AR052171,U01 AR057954,2U01AR052186,U01 AR057940,U01 AR052158,U01 AR057971,U01 AR052155,1U54AR057926,2U01AR052158,1U01AR057929,U54 AR057943,U01 AR057936,U01 AR052186,2U01AR052155,U54 AR057951,1U54AR057943,U01AR057971,U54 AR057926","RFA-RM-08-023,RFA-RM-04-011/RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-025,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-04-011,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-04-011,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-04-011/RFA-RM-08-023,RFA-RM-08-023,RFA-RM-04-011/RFA-RM-08-023,RFA-RM-08-022,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-024,RFA-RM-08-023,RFA-RM-04-011/RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-025,RFA-RM-08-024,RFA-RM-08-023,RFA-RM-08-022"
138,MurtaghM2012a,2012,,,,Data Sharing|Data Analysis,,,"European Commission,Wellcome Trust,MRC/Wellcome Trust","FP7 261433, 086160/Z/08/A, G1001799/WT095219MA","NA,NA,NA"
139,KingmaE2012a,2012,,,,,Cognitive Reserve,,,,
140,FedsonA2012a,2012,91501,,,Reproducibility of Results|Surveys and Questionnaires,"Sleep Apnea, Obstructive","This paper reviewed sleep-related questions and answers commonly used in epidemiological studies, with an emphasis on the utility of the reponse options.",,,
141,AgrawalA2012a,2012,,,,Genome-Wide Association Study,Alcohol Drinking,,"NHGRI NIH HHS,NHLBI NIH HHS,NIDA NIH HHS,NIDCR NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NHLBI NIH HHS,NHGRI NIH HHS,NIDA NIH HHS,NHGRI NIH HHS,NHLBI NIH HHS,NINDS NIH HHS,NINDS NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NIDCR NIH HHS,NEI NIH HHS,NHLBI NIH HHS,NIDCR NIH HHS,NCI NIH HHS,CIHR,NIDCR NIH HHS,NIA NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NIDCR NIH HHS,NIDDK NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHLBI NIH HHS,NIDCR NIH HHS,NHLBI NIH HHS,NHGRI NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,NIDA NIH HHS,NIDCR NIH HHS,NIDCR NIH HHS,NINDS NIH HHS,NHGRI NIH HHS,NIAAA NIH HHS,NIDCR NIH HHS,NIDCR NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,NHGRI NIH HHS,NIDDK NIH HHS,NHLBI NIH HHS,NHGRI NIH HHS","U01HG004438,HHSN268201100007C,R01 DA023668,R01 DE014899,K02DA21237,R01 DA013423,K02 AA018755,HHSN268201100009C,U01 HG004436,DA23668,U01HG004446,HHSN268201100008C,R01 NS45012,R01 NS045012,U01 HG004728,U01 HG004438,U01 HG004446,R01 DE012101,R01EY015473,HHSN268201100011C,1-U01-DE018903,P01 CA089392,NA,R01-DE12101,T32 AG000262,U01HG004728,U01HG004399,R01 DE009551,P30 DK046200,U01 HG004422,U01HG04424,HHSN268201100012C,U01-DE018903,HHSN268201100005C,HHSN268200782096C,R01 HL071981,K99 HL098459,K02 DA021237,U01 DE018903,R56 DE012101,U01 NS069208-01,U01 HG004738,U10 AA008401,R01-DE 014899,R01-DE09551,HHSN268201100006C,K99HL098459,R01 HL71981,U01 HG004399,DK46200,HHSN268201100010C,U01-HG004446","RFA-HG-06-014,NA,PA-11-260,PA-13-302/PA-07-070,NA,PA-99-113,PA-14-045/PA-09-038,NA,RFA-HG-07-012,NA,RFA-HG-06-032,NA,NA,NA,RFA-HG-07-012,RFA-HG-06-014,RFA-HG-06-032,PA-10-067/PA-01-121/PA-07-070,PA-11-260/PA-16-160/PA-07-070,NA,RFA-HG-06-033,NA,NA,NA,PA-11-184/PA-20-142/PA-16-152,RFA-HG-07-012,RFA-HG-06-033,PA-01-121,PA-20-272/RFA-DK-16-006/RFA-DK-96-011/RFA-DK-92-006/RFA-DK-02-007/RFA-DK-07-001/RFA-DK-12-004,RFA-HG-06-033,NA,NA,RFA-HG-06-033,NA,NA,PA-07-070,PA-09-036,PA-06-527,RFA-HG-06-033,PA-13-302,NA,RFA-HG-07-012,PA-18-591/RFA-AA-14-001/RFA-AA-93-002/RFA-AA-19-001/PA-20-272/RFA-AA-89-01A/0/RFA-AA-09-005/PA-14-077,PA-13-302/PA-07-070,NA,NA,PA-09-036,NA,RFA-HG-06-033,NA,NA,RFA-HG-06-032"
142,HancockD2012a,2012,,,,Case-Control Studies|Cohort Studies|Cross-Sectional Studies|Genetic Association Studies|Genome-Wide Association Study|Research Design,Genetic Predisposition to Disease,,,,
143,AgrawalA2012b,2012,,,,Genetic Association Studies|Pharmacogenetics,Substance-Related Disorders,,"NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS","DA25886,R00DA023549,R01 DA030976,P50 AA011998,R01 DA023668,R01 AA013326,AA013326,AA17688,R01 AA017915,DA17305,R01 DA018660,DA23668,DA030976,DA027046,DA18660,R01 AA014041,K05 AA017688,AA11998,R03 DA025886,AA014041,R00 DA023549,R01 DA017305,K01 DA027046","NA,PA-06-133,RFA-DA-10-019,RFA-AA-97-005/RFA-AA-03-001,PA-11-260,PA-96-001,PA-96-001,NA,PA-07-070,NA,RFA-DA-04-005,NA,RFA-DA-10-019,PA-06-001,NA,NA,PA-06-555/PA-12-148,NA,PA-06-180,NA,PA-06-133,PA-00-115,PA-06-001"
144,RitchieM2012a,2012,,,,Epidemiologic Studies|Genetic Association Studies|Genome-Wide Association Study|Pharmacogenetics|Precision Medicine|Research Design,,,NHLBI NIH HHS,U19 HL065962,RFA-GM-10-001
145,PatelC2012a,2012,,,,Nutrition Surveys,,,"NHLBI NIH HHS,NLM NIH HHS,NLM NIH HHS,NCRR NIH HHS,NCATS NIH HHS,NIGMS NIH HHS,NLM NIH HHS","T32 HL007034,T15LM 007033,T15 LM007033,UL1 RR025744,UL1 TR001085,R01 GM079719,R01 LM009719","PA-16-287/PA-02-109/PA-14-015/PA-10-036,RFA-LM-11-001/RFA-LM-01-001/RFA-LM-16-001/RFA-LM-06-001,RFA-RM-07-007,RFA-TR-12-006/PA-15-321,PAR-09-218/PA-12-149/PAR-03-106,PA-07-070"
146,ManolioT2012a,2012,,,,Prospective Studies|Research Design,,,"Wellcome Trust,Medical Research Council","NA,MC_QA137853","NA,NA"
147,BeckT2012a,2012,,,,"Medical Records Systems, Computerized|Precision Medicine",,,,,
148,RobinsonP2012a,2012,,,,Precision Medicine,Genetic Predisposition to Disease,,,,
149,BalshawD2012a,2012,150702|150801|150901,,,Health Status Indicators,Physical Fitness,Report on the process to integrate the physical activity and physical fitness domain into the PhenX Toolkit.,,,
150,CornelisM2012a,2012,,,,Biomedical Research|Research Design,"Diabetes Mellitus, Type 2",,,,
151,BuckL2012a,2012,,,,"Data Interpretation, Statistical",,,Intramural NIH HHS,ZIA HD008770-10,
152,RichessonR2012a,2012,,,,Registries,Rare Diseases,,NLM NIH HHS,RC1 LM010455,RFA-OD-09-003
153,MarazitaM2012a,2012,,,,Genome-Wide Association Study,Cleft Lip|Cleft Palate,,"NIDCR NIH HHS,NIDCR NIH HHS,NIDCR NIH HHS,NIDCR NIH HHS","R01 DE016148,U01 DE020057,DE-016148,U01-DE020057","PA-11-260/PA-07-070,RFA-DE-09-003,PA-11-260/PA-07-070,RFA-DE-09-003"
154,ParnellL2012a,2012,,,,Metabolomics|Metagenomics|Nutrigenomics|Research Design|Systems Biology,Neoplasms,,,,
155,FortierI2012a,2012,,,,Biomedical Research|Cohort Studies,Cooperative Behavior,,,,
156,VriezeS2012a,2012,,,,"Genetic Association Studies|Genetics, Behavioral|Genome-Wide Association Study",Mental Disorders|Substance-Related Disorders,,"NIDA NIH HHS,NIAAA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIMH NIH HHS,NIAAA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS","R01 DA005147,R37 AA009367,DA13240,R01 AA011886,U01 DA024417,R01 DA024417,DA05147,R01 MH066140,AA11886,R37 DA005147,DA024417,R01 DA013240,R01 AA009367,AA09367","RFA-DA-87-009,PA-13-302,NA,NA,RFA-DA-07-012,RFA-DA-07-012,NA,PA-07-070,NA,PA-07-070,RFA-DA-07-012,NA,PA-07-070,NA"
157,StanleyJ2013a,2013,121101|121601,,,"Models, Psychological",Antisocial Personality Disorder,Authors developed the triarchic conceptualization of psychopathy in an effort to integrate historical theories and contemporary measurement models.,,,
158,BaynamG2013a,2013,,,,Reproducibility of Results,Congenital Abnormalities,,,,
159,McCuskerJ2013a,2013,,,,,,,,,
160,PatelC2013a,2013,,,,"Cohort Studies|Genetics, Population|Genome-Wide Association Study","Diabetes Mellitus, Type 2",,"NHLBI NIH HHS,NLM NIH HHS,NCRR NIH HHS,NCATS NIH HHS,NIGMS NIH HHS,NLM NIH HHS","T32 HL007034,T15 LM007033,UL1 RR025744,UL1 TR001085,R01 GM079719,R01 LM009719","PA-16-287/PA-02-109/PA-14-015/PA-10-036,RFA-LM-11-001/RFA-LM-01-001/RFA-LM-16-001/RFA-LM-06-001,RFA-RM-07-007,RFA-TR-12-006/PA-15-321,PAR-09-218/PA-12-149/PAR-03-106,PA-07-070"
161,BrackenM2013a,2013,,,,Prospective Studies,,,,,
162,GizerI2013a,2013,,,,Severity of Illness Index,Marijuana Abuse|Marijuana Smoking,,"NIDA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS","DA030976,R01 DA030976,5R37 AA010201,T32 AA007573,R37 AA010201,T32AA007573","RFA-DA-10-019,RFA-DA-10-019,NA,PA-16-287/PA-14-146/PA-06-468/PA-11-184/PA-20-142/PA-16-152,NA,PA-16-287/PA-14-146/PA-06-468/PA-11-184/PA-20-142/PA-16-152"
163,SellbomM2013a,2013,,,,secondary analysis,Affective Symptoms|Antisocial Personality Disorder|Impulsive Behavior,,,,
164,CraigR2013a,2013,121601,,,Cross-Sectional Studies,Antisocial Personality Disorder ,The current investigation examined whether attachment functioning might mediate the effects of parenting on triats associated with psychpaty. ,,,
165,StricklandC2013a,2013,121101|121601,,,"Models, Psychological",Antisocial Personality Disorder,"Evaluated the extent to which psychopath and its distinctive facets, indexed by the Triarchic Psychopathy Measure, can be assessed effectively using traits from the dimensional model of personality pathology developed for DSM-5.","NIMH NIH HHS,NIMH NIH HHS,NIMH NIH HHS","MH072850,MH089727,MH65137","PAR-04-004,RFA-OD-09-003,NA"
166,LarsenP2013a,2013,,,,Biomedical Research|Cohort Studies,,,"Medical Research Council,Medical Research Council,Department of Health,Medical Research Council,Medical Research Council,Medical Research Council,Medical Research Council,British Heart Foundation,Medical Research Council,Medical Research Council","G0701603,G0601361,NIHR-RP-02-12-001,MR/K006525/1,MC_UU_12013/5,G0501306,MC_UP_A620_1017,RG/07/009/23120,MC_UU_12011/4,MR/K02325X/1","NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
167,ZijlemaW2013a,2013,,,,Reproducibility of Results|Surveys and Questionnaires,Dyspnea,,Medical Research Council,G0200434,
168,WintersK2013a,2013,,,,Mass Screening,Adolescent Behavior|Alcoholism|Substance-Related Disorders,,"NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS","P50 DA027841,K24 DA035882,K02 DA015347,K02 DA15347,P50-DA027841,R01 DA012995","PAR-08-046,PA-11-195,PA-00-020/PA-06-527,NA,PAR-08-046,PA-07-070"
169,RileyW2013a,2013,,,,,,,,,
170,MoreanM2013a,2013,520103,,,Reproducibility of Results|Surveys and Questionnaires,Psychometrics,"Evaluated the psychometric propeties of several variations of DEQ items, which assessed th extent to which particpants feel any substance effects.","NIDA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS,NIDA NIH HHS","K02-DA-021304,DA02812,R01-AA013746-S1,R01 AA013746,K02 DA021304,R01-AA013746,R01 DA002812","PA-06-527,RFA-OD-09-003,NA,PA-16-288/PA-11-260/PA-07-070/PA-18-484,PA-06-527,PA-16-288/PA-11-260/PA-07-070/PA-18-484,PA-12-100/PA-13-302/PA-19-055/PA-93-59/PA-07-329"
171,NewtonK2013a,2013,,,,Electronic Health Records|Genetic Association Studies|Genetic Research|Validation Studies as Topic,,,"NHGRI NIH HHS,NHGRI NIH HHS,NCATS NIH HHS,NHLBI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NIGMS NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NIA NIH HHS,NHGRI NIH HHS","U01-HG-004610,U01 HG006375,UL1 TR000150,U19 HL065962,U01 HG004603,U01HG004609,U01 HG004609,U01 HG004599,U01 HG006378,R01 GM105688,U01 HG004610,U01-HG-004608,U01 HG004608,U01-HG-04599,K08 AG019180,U01-HG-04603","RFA-HG-07-005,RFA-HG-10-009,RFA-RM-07-007,RFA-GM-10-001,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,PA-12-100/RFA-HG-10-009,PA-18-591/PA-11-260/PA-16-160,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,NA,PA-00-003,NA"
172,GlasgowR2013a,2013,,,,Evidence-Based Practice|Health Services Research,,,,,
173,SadasivamR2013a,2013,71001,Share2Quit,,Follow-Up Studies,Smoking Cessation,To describe the protcol for the development and testing of proactive Web-based chain-referral tools for increasing the access to Decide2Quit.org.,"NCI NIH HHS,Medical Research Council,NCI NIH HHS,NCATS NIH HHS","K07 CA172677,MR/K010174/1,R21 CA158968,UL1 TR000161","PAR-12-067,NA,PA-09-130,RFA-RM-09-004"
174,DumitrescuL2013a,2013,,,,"Cohort Studies|Genetics, Population|Genome-Wide Association Study",Smoking,,"PHS HHS,NHLBI NIH HHS,NIGMS NIH HHS,WHI NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,WHI NIH HHS,NHLBI NIH HHS,NCI NIH HHS,NCI NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,NHGRI NIH HHS,NHLBI NIH HHS,NHGRI NIH HHS,NHLBI NIH HHS,NCI NIH HHS,WHI NIH HHS,NHGRI NIH HHS,NIA NIH HHS,NHLBI NIH HHS,NHGRI NIH HHS,NHLBI NIH HHS,WHI NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,NIA NIH HHS,NHLBI NIH HHS,WHI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,WHI NIH HHS,WHI NIH HHS,NHGRI NIH HHS,NCI NIH HHS,PHS HHS,NHLBI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,NHLBI NIH HHS,NIA NIH HHS,WHI NIH HHS,NCI NIH HHS,WHI NIH HHS,NCI NIH HHS,NHGRI NIH HHS","N0144221,N01-HC-05187,T32 GM080178,N01WH32100-2,N01 HC-55222,N01-HC-48049,N01WH32105-6,R01 HL109301,P01CA33619,U01CA98758,U01 HL65520,U01 HL65521,U01 HG004790,N01-HC-48047,U01 HG004802,U01 HL41642,U01CA136792,N01WH32108-9,U01HG004803,AG-20098,N01-HC-95095,U01HG004802,N01-HC-85086,N01WH42107-26,N01-HC-48050,U01 HL41654,AG-027058,U01 HL41652,N01WH32122,U01 HG004803,U01HG004798,N01-HC-75150,N01HC-15103,N01WH32111-13,N01WH32118-32119,U01HG004801,R37CA54281,N0142129-32,N01-HC-85079,U01HG004790,U01 HG004798,HL080295,N01-HC-85239,N01-HC-48048,AG-023629,N01WH32115,P30 CA071789,N01WH24152,R01 CA63,U01 HG004801","NA,NA,PA-11-184/PA-14-015,NA,NA,NA,NA,PA-11-260,NA,NA,NA,NA,RFA-HG-07-014,NA,RFA-HG-07-014,NA,PA-07-070,NA,RFA-HG-07-014,NA,NA,RFA-HG-07-014,NA,NA,NA,NA,NA,NA,NA,RFA-HG-07-014,RFA-HG-07-014,NA,NA,NA,NA,RFA-HG-07-015,NA,NA,NA,RFA-HG-07-014,RFA-HG-07-014,NA,NA,NA,PA-10-067,NA,PA-20-272/PAR-11-005/RFA-OD-12-007/PAR-17-095,NA,NA,RFA-HG-07-015"
175,SpittelM2013a,2013,,,,Genetic Research|Integrative Medicine,Public Health,,,,
176,McGueM2013a,2013,,,,Genomics|Precision Medicine,Behavior,,"NIDA NIH HHS,NIDA NIH HHS","U01 DA024417,U01-DA024417","RFA-DA-07-012,RFA-DA-07-012"
177,TuckerK2013a,2013,,,,Genome-Wide Association Study|Nutrigenomics|Nutrition Assessment|Precision Medicine,Diet and genetics,,"NIMHD NIH HHS,NHLBI NIH HHS","L60 MD003562,P50 HL105185","NA,RFA-CA-09-001"
178,HutterC2013a,2013,,,,Genome-Wide Association Study|Reproducibility of Results|Research Report,Neoplasms|Public Health,,"NCI NIH HHS,Intramural NIH HHS","P30 CA016672,Z99 CA999999","PA-20-272/PA-18-591/PAR-11-005/PAR-17-095,NA"
